Director,Count,TotalGrossWorldWide,AverageGrossPerFilm,Director_weight
James Wong,4,595574099.9205512,148893524.9801378,239634884.01898754
Reema Kagti,1,7004302.619981359,7004302.619981359,4855012.612828717
Robert Kaylor,1,6721637.3718446605,6721637.3718446605,4659083.993040487
Andrei Konchalovsky,3,21991494.846997242,7330498.282332414,10162228.432996469
Siddharth P Malhotra,1,1546162.5485288182,1546162.5485288182,1071718.21120013
George Butler,2,2769138.93391045,1384569.466955225,1521105.0309116645
Jeb Stuart,1,12326021.727850467,12326021.727850467,8543747.208180176
Marcus Nispel,3,261550672.8204059,87183557.60680197,120862074.29268071
George Tillman Jr.,7,465513681.33575404,66501954.47653629,138286926.74141088
Jean-Jacques Beineix,1,5607103.406952555,5607103.406952555,3886547.917637227
William Lustig,3,34973582.73963539,11657860.913211798,16161226.846705494
Christian Duguay,4,102100695.27135037,25525173.817837592,41081182.463898085
Jon Favreau,9,5704350527.9655695,633816725.3295077,1459416943.4340262
Michael Corrente,3,15706601.067512037,5235533.689170679,7257990.830750531
Matthew Miele,1,677978.5285868208,677978.5285868208,469938.9055701351
Eric Darnell,5,3493457912.674661,698691582.5349323,1251887259.0769
Sarah Smith,2,273348608.9176103,136674304.45880514,150152070.42360997
John Schultz,3,83146379.73533458,27715459.911778193,38421785.791542485
Catherine Hardwicke,7,264334321.09951264,37762045.871358946,78523966.88372332
Ron Howard,21,5617966596.799328,267522218.8952061,826922535.8216983
Lewis Gilbert,4,1178056726.347523,294514181.58688074,474002289.59542686
Jim McBride,3,143842778.210295,47947592.736765,66469477.44025034
Harry Winer,2,40618714.43762838,20309357.21881419,22312109.415539656
Bill Melendez,1,7444465.212208738,7444465.212208738,5160110.0726190815
René Féret,1,1738014.0260942143,1738014.0260942143,1204699.5219608438
Jessica M. Thompson,1,39601868.69610976,39601868.69610976,27449923.631613635
Joe Talbot,1,5527546.973718693,5527546.973718693,3831403.6002457696
Anthony Russo,4,5919839559.658984,1479959889.914746,2381903555.71059
Éric Rohmer,7,3042784.1793219093,434683.4541888442,903898.8321211664
Siddharth Anand,6,232373055.04395387,38728842.50732564,75362847.6961698
Neal Slavin,1,1110446.9533370978,1110446.9533370978,769703.1748669904
Richard Correll,1,19895322.425753634,19895322.425753634,13790386.645742184
Randal Kleiser,6,276147137.6240733,46024522.93734556,89559586.28920977
Jan de Bont,4,1862208283.6787977,465552070.91969943,749277153.1503732
Paul Flaherty,2,33598684.70896261,16799342.354481306,18455963.95217582
Grant Heslov,1,98135145.05769166,98135145.05769166,68022099.11058022
Richard Eyre,2,103083675.55284868,51541837.77642434,56624496.361717984
Pierre Salvadori,2,57043071.02067832,28521535.51033916,31334109.403342467
Jim Wilson,1,1370054.6714821572,1370054.6714821572,949649.5327508394
Iwao Takamoto,1,47339176.46811018,47339176.46811018,32813016.698900282
