Actor,Count,TotalGrossWorldWide,AverageGrossPerFilm,top_3_count,weight
Paul Aldrich,1,966843.6402328119,966843.6402328119,0,201049.4829809063
David Benham,1,966843.6402328119,966843.6402328119,0,201049.4829809063
Chinnitta Morris,1,966843.6402328119,966843.6402328119,0,201049.4829809063
Nicholas Hope,2,120507137.2489733,60253568.62448665,2,66195310.926968284
Matthew Marsden,3,289337543.5837368,96445847.86124559,3,133702335.04347162
Eugene Byrd,3,543622600.3007203,181207533.43357345,3,251206981.79140693
Karl Yune,2,535236750.59795445,267618375.29897723,0,88202650.73305516
Salli Richardson-Whitfield,7,1127443773.1356351,161063396.1622336,1,133968766.72951406
Johnny Messner,4,322236365.57135403,80559091.39283851,0,38896456.763663374
Nicholas Gonzalez,1,117891430.28439386,117891430.28439386,0,24514833.754142087
KaDee Strickland,3,222333225.22625074,74111075.07541691,0,30821929.642074995
Morris Chestnut,13,1265218929.4148624,97324533.03191249,0,77053506.67477529
Andy Anderson,1,117891430.28439386,117891430.28439386,0,24514833.754142087
Charles Rocket,3,105258070.54925165,35086023.51641721,2,37290326.692112274
Julie Hayden,1,128739.48959514171,128739.48959514171,1,89235.41423959889
Julia Sweeney,3,85810257.74651289,28603419.24883763,1,21148138.033819597
Timothy Stack,2,457045.38509514177,228522.69254757088,0,75317.35148168569
Larry Hankin,3,231583746.3899669,77194582.12998897,0,32104324.17474299
Beverly Leech,1,128739.48959514171,128739.48959514171,0,26770.624271879668
Mary Scheer,1,128739.48959514171,128739.48959514171,0,26770.624271879668
Dave Foley,6,930690795.7696557,155115132.62827596,0,90552033.25602695
Kathy Najimy,10,1815930689.562609,181593068.9562609,0,130632348.48694997
Kathy Griffin,3,7015422.122758545,2338474.040919515,0,972544.0129655902
John Chester,1,6584268.486999567,6584268.486999567,1,4563867.137813446
Caya,1,6584268.486999567,6584268.486999567,1,4563867.137813446
Joshua Nelson,1,6584268.486999567,6584268.486999567,1,4563867.137813446
Todd,1,6584268.486999567,6584268.486999567,0,1369160.1413440339
Molly Chester,1,6584268.486999567,6584268.486999567,0,1369160.1413440339
Maria Takacs,1,6584268.486999567,6584268.486999567,0,1369160.1413440339
Raul Rios,1,6584268.486999567,6584268.486999567,0,1369160.1413440339
Rosie,1,6584268.486999567,6584268.486999567,0,1369160.1413440339
Flavio Vidales,1,6584268.486999567,6584268.486999567,0,1369160.1413440339
Alan York,1,6584268.486999567,6584268.486999567,0,1369160.1413440339
Aquiles Correa,1,1456782.6264096035,1456782.6264096035,1,1009764.7701845288
Luis A. Lozada Jr.,1,1456782.6264096035,1456782.6264096035,1,1009764.7701845288
